ticker,bench,corr,beta,sig,events_total,total_delta,mean_delta_total,median_delta_total,n_up_total,n_down_total,n_flat_total,up_ratio_total,down_ratio_total,early_blue_up_rate,early_blue_down_rate,early_ark_up_rate,early_ark_down_rate,middle_ark_up_rate,middle_ark_down_rate,late_ark_up_rate,late_ark_down_rate,open_up_rate,open_down_rate,early_post_up_rate,early_post_down_rate,late_post_up_rate,late_post_down_rate,EARLY_ARK_n,EARLY_BLUE_n,LATE_ARK_n,MIDDLE_ARK_n,OPEN_n,EARLY_ARK_n_up,EARLY_BLUE_n_up,LATE_ARK_n_up,MIDDLE_ARK_n_up,OPEN_n_up,EARLY_ARK_n_down,EARLY_BLUE_n_down,LATE_ARK_n_down,MIDDLE_ARK_n_down,OPEN_n_down,EARLY_ARK_n_flat,EARLY_BLUE_n_flat,LATE_ARK_n_flat,MIDDLE_ARK_n_flat,OPEN_n_flat,EARLY_ARK_up_ratio,EARLY_BLUE_up_ratio,LATE_ARK_up_ratio,MIDDLE_ARK_up_ratio,OPEN_up_ratio,EARLY_ARK_down_ratio,EARLY_BLUE_down_ratio,LATE_ARK_down_ratio,MIDDLE_ARK_down_ratio,OPEN_down_ratio,EARLY_ARK_total_delta,EARLY_BLUE_total_delta,LATE_ARK_total_delta,MIDDLE_ARK_total_delta,OPEN_total_delta,EARLY_ARK_mean_delta,EARLY_BLUE_mean_delta,LATE_ARK_mean_delta,MIDDLE_ARK_mean_delta,OPEN_mean_delta,EARLY_ARK_median_delta,EARLY_BLUE_median_delta,LATE_ARK_median_delta,MIDDLE_ARK_median_delta,OPEN_median_delta,EARLY_ARK_mean_up,EARLY_BLUE_mean_up,LATE_ARK_mean_up,MIDDLE_ARK_mean_up,OPEN_mean_up,EARLY_ARK_median_up,EARLY_BLUE_median_up,LATE_ARK_median_up,MIDDLE_ARK_median_up,OPEN_median_up,EARLY_ARK_mean_down,EARLY_BLUE_mean_down,LATE_ARK_mean_down,MIDDLE_ARK_mean_down,OPEN_mean_down,EARLY_ARK_median_down,EARLY_BLUE_median_down,LATE_ARK_median_down,MIDDLE_ARK_median_down,OPEN_median_down
NBTB,,,,,65,-4.949999999999999,-0.07615384615384614,-0.039999999999999925,31,33,1,0.47692307692307695,0.5076923076923077,,,,,,,,,0.47692307692307695,0.5076923076923077,,,,,,,,,65.0,,,,,31.0,,,,,33.0,,,,,1.0,,,,,0.47692307692307695,,,,,0.5076923076923077,,,,,-4.949999999999999,,,,,-0.07615384615384614,,,,,-0.039999999999999925,,,,,0.46064516129032257,,,,,0.35,,,,,-0.5827272727272726,,,,,-0.42000000000000004
NBXG,,,,,60,2.530000000000001,0.042166666666666686,0.03999999999999995,33,24,3,0.55,0.4,,,,,,,,,0.55,0.4,,,,,,,,,60.0,,,,,33.0,,,,,24.0,,,,,3.0,,,,,0.55,,,,,0.4,,,,,2.530000000000001,,,,,0.042166666666666686,,,,,0.03999999999999995,,,,,0.27606060606060606,,,,,0.2,,,,,-0.2741666666666667,,,,,-0.25
NCDL,,,,,63,0.6799999999999998,0.010793650793650791,0.0,29,30,4,0.4603174603174603,0.47619047619047616,,,,,,,0.0,1.0,0.46774193548387094,0.46774193548387094,,,,,,,1.0,,62.0,,,0.0,,29.0,,,1.0,,29.0,,,0.0,,4.0,,,0.0,,0.46774193548387094,,,1.0,,0.46774193548387094,,,-0.1299999999999999,,0.8099999999999988,,,-0.1299999999999999,,0.01306451612903224,,,-0.1299999999999999,,0.0,,,,,0.43482758620689654,,,,,0.35000000000000003,,,-0.1299999999999999,,-0.40689655172413797,,,-0.1299999999999999,,-0.31
NCIQ,,,,,24,-12.309999999999999,-0.5129166666666666,-0.31500000000000006,5,19,0,0.20833333333333334,0.7916666666666666,,,,,,,,,0.20833333333333334,0.7916666666666666,,,,,,,,,24.0,,,,,5.0,,,,,19.0,,,,,0.0,,,,,0.20833333333333334,,,,,0.7916666666666666,,,,,-12.309999999999999,,,,,-0.5129166666666666,,,,,-0.31500000000000006,,,,,0.1960000000000001,,,,,0.1299999999999999,,,,,-0.6994736842105264,,,,,-0.48
NCLH,,,,,140,-11.550000000000002,-0.08250000000000002,-0.0799999999999999,55,81,4,0.39285714285714285,0.5785714285714286,0.0,1.0,0.0,1.0,0.4,0.6,0.3620689655172414,0.5689655172413793,0.48484848484848486,0.5151515151515151,,,,,6.0,5.0,58.0,5.0,66.0,0.0,0.0,21.0,2.0,32.0,6.0,5.0,33.0,3.0,34.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.3620689655172414,0.4,0.48484848484848486,1.0,1.0,0.5689655172413793,0.6,0.5151515151515151,-2.02,-1.4200000000000002,-4.36,0.16999999999999998,-3.9199999999999986,-0.33666666666666667,-0.28400000000000003,-0.07517241379310345,0.033999999999999996,-0.059393939393939374,-0.305,-0.16,-0.05000000000000002,-0.04000000000000001,-0.05000000000000003,,,0.25857142857142856,0.285,0.7909375,,,0.20999999999999996,0.285,0.615,-0.33666666666666667,-0.28400000000000003,-0.29666666666666663,-0.13333333333333333,-0.8597058823529411,-0.305,-0.16,-0.20999999999999996,-0.09,-0.6949999999999998
NCNO,,,,,70,-15.530000000000001,-0.22185714285714286,-0.12999999999999998,31,38,1,0.44285714285714284,0.5428571428571428,,,,,,,0.5,0.5,0.4393939393939394,0.5454545454545454,,,,,,,4.0,,66.0,,,2.0,,29.0,,,2.0,,36.0,,,0.0,,1.0,,,0.5,,0.4393939393939394,,,0.5,,0.5454545454545454,,,-0.7400000000000015,,-14.79,,,-0.1850000000000004,,-0.2240909090909091,,,-0.21500000000000075,,-0.12999999999999998,,,0.33999999999999986,,0.6772413793103447,,,0.33999999999999986,,0.62,,,-0.7100000000000006,,-0.9563888888888887,,,-0.7100000000000006,,-0.71
NCSM,,,,,21,-28.420000000000005,-1.3533333333333335,-1.75,3,17,1,0.14285714285714285,0.8095238095238095,,,,,,,,,0.14285714285714285,0.8095238095238095,,,,,,,,,21.0,,,,,3.0,,,,,17.0,,,,,1.0,,,,,0.14285714285714285,,,,,0.8095238095238095,,,,,-28.420000000000005,,,,,-1.3533333333333335,,,,,-1.75,,,,,2.8299999999999996,,,,,1.5599999999999998,,,,,-2.1711764705882355,,,,,-2.16
NDAQ,,,,,75,1.3400000000000003,0.01786666666666667,0.07,42,32,1,0.56,0.4266666666666667,,,1.0,0.0,,,0.5,0.5,0.5606060606060606,0.42424242424242425,,,,,1.0,,8.0,,66.0,1.0,,4.0,,37.0,0.0,,4.0,,28.0,0.0,,0.0,,1.0,1.0,,0.5,,0.5606060606060606,0.0,,0.5,,0.42424242424242425,0.15,,-0.5599999999999998,,1.7500000000000004,0.15,,-0.06999999999999998,,0.026515151515151523,0.15,,0.045,,0.065,0.15,,0.29000000000000004,,0.3505405405405406,0.15,,0.22999999999999998,,0.19999999999999998,,,-0.43,,-0.40071428571428575,,,-0.44,,-0.28500000000000003
NDSN,,,,,65,9.600000000000001,0.1476923076923077,0.21999999999999997,39,26,0,0.6,0.4,,,,,,,,,0.6,0.4,,,,,,,,,65.0,,,,,39.0,,,,,26.0,,,,,0.0,,,,,0.6,,,,,0.4,,,,,9.600000000000001,,,,,0.1476923076923077,,,,,0.21999999999999997,,,,,0.5210256410256411,,,,,0.41999999999999993,,,,,-0.41230769230769226,,,,,-0.365
NE,,,,,69,15.09,0.21869565217391304,0.29000000000000004,40,28,1,0.5797101449275363,0.4057971014492754,,,,,,,0.3333333333333333,0.3333333333333333,0.5909090909090909,0.4090909090909091,,,,,,,3.0,,66.0,,,1.0,,39.0,,,1.0,,27.0,,,1.0,,0.0,,,0.3333333333333333,,0.5909090909090909,,,0.3333333333333333,,0.4090909090909091,,,0.99,,14.100000000000005,,,0.33,,0.2136363636363637,,,0.0,,0.29000000000000004,,,1.93,,0.8912820512820508,,,1.93,,0.7,,,-0.94,,-0.7651851851851851,,,-0.94,,-0.6499999999999999
NEAR,,,,,66,-0.56,-0.008484848484848486,-0.010000000000000002,17,42,7,0.25757575757575757,0.6363636363636364,,,,,,,,,0.25757575757575757,0.6363636363636364,,,,,,,,,66.0,,,,,17.0,,,,,42.0,,,,,7.0,,,,,0.25757575757575757,,,,,0.6363636363636364,,,,,-0.56,,,,,-0.008484848484848486,,,,,-0.010000000000000002,,,,,0.03411764705882353,,,,,0.03,,,,,-0.027142857142857156,,,,,-0.020000000000000004
NEBX,,,,,103,-14.250000000000004,-0.13834951456310682,0.040000000000000036,54,49,0,0.5242718446601942,0.47572815533980584,0.75,0.25,0.4166666666666667,0.5833333333333334,0.625,0.375,0.6216216216216216,0.3783783783783784,0.42857142857142855,0.5714285714285714,,,,,12.0,4.0,37.0,8.0,42.0,5.0,3.0,23.0,5.0,18.0,7.0,1.0,14.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.75,0.6216216216216216,0.625,0.42857142857142855,0.5833333333333334,0.25,0.3783783783783784,0.375,0.5714285714285714,-10.999999999999996,2.66,12.379999999999997,0.10999999999999799,-18.4,-0.9166666666666664,0.665,0.3345945945945945,0.013749999999999749,-0.43809523809523804,-1.3099999999999996,0.6000000000000003,0.15999999999999992,0.21499999999999936,-0.8649999999999998,1.722,1.0766666666666669,1.3769565217391302,0.4139999999999997,2.3616666666666664,1.6500000000000004,0.6300000000000008,0.9100000000000001,0.3099999999999996,1.79,-2.8014285714285707,-0.5700000000000003,-1.377857142857143,-0.6533333333333334,-2.5379166666666664,-1.6600000000000001,-0.5700000000000003,-0.8250000000000006,-0.48,-2.4299999999999997
NEE,,,,,129,-0.2100000000000002,-0.0016279069767441874,0.0,63,62,4,0.4883720930232558,0.4806201550387597,0.5,0.5,0.45454545454545453,0.5454545454545454,0.5,0.0,0.45,0.525,0.5151515151515151,0.45454545454545453,,,,,11.0,10.0,40.0,2.0,66.0,5.0,5.0,18.0,1.0,34.0,6.0,5.0,21.0,0.0,30.0,0.0,0.0,1.0,1.0,2.0,0.45454545454545453,0.5,0.45,0.5,0.5151515151515151,0.5454545454545454,0.5,0.525,0.0,0.45454545454545453,-1.6899999999999995,-0.31999999999999995,-2.1900000000000004,0.20000000000000018,3.789999999999998,-0.1536363636363636,-0.031999999999999994,-0.05475000000000001,0.10000000000000009,0.05742424242424239,-0.12000000000000005,-1.3877787807814457e-17,-0.010000000000000009,0.10000000000000009,0.010000000000000009,0.11600000000000002,0.35400000000000004,0.1411111111111111,0.20000000000000018,0.5494117647058824,0.14,0.21000000000000002,0.14,0.20000000000000018,0.365,-0.37833333333333324,-0.418,-0.22523809523809527,,-0.4963333333333333,-0.375,-0.21,-0.15999999999999998,,-0.42499999999999993
