ticker,bench,events_total,events_pre_total,events_intra_total,events_post_total,blue_any_rate,blue_hard_rate,blue_soft_rate,ark_any_rate,ark_hard_rate,ark_soft_rate,print_any_rate,print_hard_rate,print_soft_rate,open_any_rate,open_hard_rate,open_soft_rate,global_any_rate,global_hard_rate,global_soft_rate,intra_any_rate,intra_hard_rate,intra_soft_rate,post_any_rate,post_hard_rate,post_soft_rate,corr,beta,sigma
A,IWM,67,25,42,0,0.0,0.0,0.0,0.16,0.12,0.04,0.32,0.16,0.16,0.56,0.48,0.08,0.64,0.4,0.24,0.0,0.0,0.0,,,,0.75,0.54,0.67
AA,IWM,122,65,57,0,0.2,0.09230769230769231,0.1076923076923077,0.6461538461538462,0.46153846153846156,0.18461538461538463,0.26153846153846155,0.07692307692307693,0.18461538461538463,0.4461538461538462,0.2923076923076923,0.15384615384615385,0.7076923076923077,0.5076923076923077,0.2,0.0,0.0,0.0,,,,0.88,1.82,1.76
AAAU,QQQ,99,61,38,0,0.11475409836065574,0.08196721311475409,0.03278688524590164,0.5737704918032787,0.39344262295081966,0.18032786885245902,0.29508196721311475,0.14754098360655737,0.14754098360655737,0.5081967213114754,0.36065573770491804,0.14754098360655737,0.7049180327868853,0.4918032786885246,0.21311475409836064,0.0,0.0,0.0,,,,0.58,0.84,1.0
AAL,IWM,108,59,49,0,0.3898305084745763,0.3220338983050847,0.06779661016949153,0.8813559322033898,0.864406779661017,0.01694915254237288,0.23728813559322035,0.13559322033898305,0.1016949152542373,0.6271186440677966,0.4406779661016949,0.1864406779661017,0.9661016949152542,0.8983050847457628,0.06779661016949153,0.0,0.0,0.0,,,,0.84,1.04,1.28
AALG,IWM,22,16,6,0,0.0,0.0,0.0,0.375,0.0,0.375,0.3125,0.0,0.3125,0.375,0.0625,0.3125,0.5,0.0,0.5,0.0,0.0,0.0,,,,0.77,1.95,2.99
AAMI,SPY,33,11,22,0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,,,,0.77,1.18,1.41
AAOI,SPY,128,65,63,0,0.36923076923076925,0.16923076923076924,0.2,0.6923076923076923,0.47692307692307695,0.2153846153846154,0.16923076923076924,0.0,0.16923076923076924,0.47692307692307695,0.07692307692307693,0.4,0.8307692307692308,0.47692307692307695,0.35384615384615387,0.0,0.0,0.0,,,,0.89,5.38,3.21
AAON,IWM,56,16,40,0,0.0,0.0,0.0,0.25,0.25,0.0,0.4375,0.25,0.1875,0.5625,0.375,0.1875,0.5625,0.4375,0.125,0.0,0.0,0.0,,,,0.85,1.36,2.53
AAP,IWM,44,15,29,0,0.0,0.0,0.0,0.3333333333333333,0.2,0.13333333333333333,0.2,0.2,0.0,0.4,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.4,0.13333333333333333,0.0,0.0,0.0,,,,0.55,0.51,1.99
AAPB,SPY,97,63,34,0,0.047619047619047616,0.047619047619047616,0.0,0.5714285714285714,0.3968253968253968,0.1746031746031746,0.2222222222222222,0.14285714285714285,0.07936507936507936,0.6031746031746031,0.38095238095238093,0.2222222222222222,0.8095238095238095,0.5714285714285714,0.23809523809523808,0.0,0.0,0.0,,,,0.57,1.0,1.47
AAPD,QQQ,96,52,44,0,0.038461538461538464,0.038461538461538464,0.0,0.28846153846153844,0.25,0.038461538461538464,0.1346153846153846,0.038461538461538464,0.09615384615384616,0.3076923076923077,0.1346153846153846,0.17307692307692307,0.38461538461538464,0.28846153846153844,0.09615384615384616,0.0,0.0,0.0,,,,-0.47,-0.2,0.73
AAPL,SPY,91,52,39,0,0.07692307692307693,0.019230769230769232,0.057692307692307696,0.38461538461538464,0.3269230769230769,0.057692307692307696,0.1346153846153846,0.11538461538461539,0.019230769230769232,0.38461538461538464,0.2692307692307692,0.11538461538461539,0.5576923076923077,0.4230769230769231,0.1346153846153846,0.0,0.0,0.0,,,,0.51,0.3,0.73
AAPU,SPY,117,65,52,0,0.24615384615384617,0.23076923076923078,0.015384615384615385,0.6923076923076923,0.5538461538461539,0.13846153846153847,0.23076923076923078,0.07692307692307693,0.15384615384615385,0.6,0.47692307692307695,0.12307692307692308,0.8,0.6307692307692307,0.16923076923076924,0.0,0.0,0.0,,,,0.62,1.04,1.46
AAPW,QQQ,51,37,14,0,0.0,0.0,0.0,0.16216216216216217,0.10810810810810811,0.05405405405405406,0.2972972972972973,0.10810810810810811,0.1891891891891892,0.35135135135135137,0.21621621621621623,0.13513513513513514,0.5675675675675675,0.35135135135135137,0.21621621621621623,0.0,0.0,0.0,,,,0.72,0.63,0.83
AAPX,SPY,104,64,40,0,0.109375,0.0625,0.046875,0.5625,0.3125,0.25,0.203125,0.046875,0.15625,0.578125,0.359375,0.21875,0.765625,0.40625,0.359375,0.0,0.0,0.0,,,,0.59,1.59,1.42
AARD,QQQ,39,19,20,0,0.0,0.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.3684210526315789,0.21052631578947367,0.15789473684210525,0.631578947368421,0.21052631578947367,0.42105263157894735,0.6842105263157895,0.3684210526315789,0.3157894736842105,0.0,0.0,0.0,,,,0.35,0.87,1.66
AAT,IWM,42,6,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,,,,0.59,0.36,0.46
AAUC,GDX,42,20,22,0,0.0,0.0,0.0,0.4,0.1,0.3,0.3,0.05,0.25,0.5,0.25,0.25,0.75,0.2,0.55,0.0,0.0,0.0,,,,0.88,0.75,1.91
AAXJ,SPY,78,28,50,0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.0,0.10714285714285714,0.03571428571428571,0.07142857142857142,0.0,0.0,0.0,,,,0.88,1.75,0.8
AB,XLF,40,12,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,,,,0.63,0.46,0.49
ABBV,SPY,79,48,31,0,0.041666666666666664,0.041666666666666664,0.0,0.20833333333333334,0.10416666666666667,0.10416666666666667,0.14583333333333334,0.10416666666666667,0.041666666666666664,0.3125,0.2916666666666667,0.020833333333333332,0.3541666666666667,0.25,0.10416666666666667,0.0,0.0,0.0,,,,-0.16,-0.18,0.75
ABG,IWM,18,4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.75,0.5,0.25,0.0,0.0,0.0,,,,0.69,0.54,0.84
ABM,IWM,50,12,38,0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.25,0.5,0.16666666666666666,0.3333333333333333,0.5,0.25,0.25,0.0,0.0,0.0,,,,0.57,0.4,0.53
ABNB,SPY,114,58,56,0,0.20689655172413793,0.13793103448275862,0.06896551724137931,0.7068965517241379,0.5344827586206896,0.1724137931034483,0.3275862068965517,0.10344827586206896,0.22413793103448276,0.7758620689655172,0.5689655172413793,0.20689655172413793,0.8793103448275862,0.6896551724137931,0.1896551724137931,0.0,0.0,0.0,,,,0.85,0.97,0.69
ABNY,SPY,12,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,,,,0.68,1.06,0.73
ABR,SPY,97,51,46,0,0.0196078431372549,0.0196078431372549,0.0,0.49019607843137253,0.37254901960784315,0.11764705882352941,0.3137254901960784,0.09803921568627451,0.21568627450980393,0.5882352941176471,0.47058823529411764,0.11764705882352941,0.7450980392156863,0.5686274509803921,0.17647058823529413,0.0,0.0,0.0,,,,0.69,0.5,0.71
ABT,IWM,101,48,53,0,0.0,0.0,0.0,0.16666666666666666,0.125,0.041666666666666664,0.10416666666666667,0.0625,0.041666666666666664,0.4166666666666667,0.25,0.16666666666666666,0.4375,0.2708333333333333,0.16666666666666666,0.0,0.0,0.0,,,,-0.31,-0.07,0.57
ABVX,QQQ,93,59,34,0,0.13559322033898305,0.06779661016949153,0.06779661016949153,0.5932203389830508,0.423728813559322,0.1694915254237288,0.2711864406779661,0.1016949152542373,0.1694915254237288,0.6101694915254238,0.3898305084745763,0.22033898305084745,0.7796610169491526,0.5084745762711864,0.2711864406779661,0.0,0.0,0.0,,,,0.41,0.71,1.54
ACAD,IWM,53,24,29,0,0.0,0.0,0.0,0.25,0.08333333333333333,0.16666666666666666,0.25,0.20833333333333334,0.041666666666666664,0.5,0.5,0.0,0.5416666666666666,0.4166666666666667,0.125,0.0,0.0,0.0,,,,0.64,0.4,1.79
ACES,IWM,15,5,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,,,,0.93,1.68,1.3
ACGL,XLF,73,22,51,0,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.0,0.0,0.0,,,,0.42,0.85,0.58
ACHC,IWM,77,28,49,0,0.0,0.0,0.0,0.2857142857142857,0.25,0.03571428571428571,0.39285714285714285,0.21428571428571427,0.17857142857142858,0.6071428571428571,0.42857142857142855,0.17857142857142858,0.7142857142857143,0.5357142857142857,0.17857142857142858,0.0,0.0,0.0,,,,0.62,0.81,1.56
ACHR,IWM,124,65,59,0,0.35384615384615387,0.2153846153846154,0.13846153846153847,0.7538461538461538,0.5538461538461539,0.2,0.27692307692307694,0.015384615384615385,0.26153846153846155,0.5692307692307692,0.24615384615384617,0.3230769230769231,0.8769230769230769,0.5692307692307692,0.3076923076923077,0.0,0.0,0.0,,,,0.91,3.08,2.74
ACI,IWM,82,40,42,0,0.0,0.0,0.0,0.1,0.075,0.025,0.15,0.075,0.075,0.45,0.425,0.025,0.45,0.35,0.1,0.0,0.0,0.0,,,,-0.39,-0.15,1.19
ACIC,XLF,31,5,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.67,0.33,0.37
ACIW,SPY,57,13,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.07692307692307693,0.38461538461538464,0.6153846153846154,0.38461538461538464,0.23076923076923078,0.6923076923076923,0.23076923076923078,0.46153846153846156,0.0,0.0,0.0,,,,0.86,0.96,0.59
ACKY,SPY,31,21,10,0,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.23809523809523808,0.047619047619047616,0.19047619047619047,0.8571428571428571,0.5238095238095238,0.3333333333333333,0.8571428571428571,0.3333333333333333,0.5238095238095238,0.0,0.0,0.0,,,,0.78,1.38,0.75
ACLS,SOXL,85,42,43,0,0.0,0.0,0.0,0.11904761904761904,0.023809523809523808,0.09523809523809523,0.047619047619047616,0.0,0.047619047619047616,0.19047619047619047,0.11904761904761904,0.07142857142857142,0.2619047619047619,0.07142857142857142,0.19047619047619047,0.0,0.0,0.0,,,,0.88,0.3,1.8
ACLX,SPY,55,20,35,0,0.0,0.0,0.0,0.15,0.1,0.05,0.3,0.05,0.25,0.4,0.15,0.25,0.5,0.2,0.3,0.0,0.0,0.0,,,,0.68,0.52,0.67
ACM,IWM,82,40,42,0,0.025,0.025,0.0,0.15,0.125,0.025,0.4,0.175,0.225,0.625,0.425,0.2,0.725,0.35,0.375,0.0,0.0,0.0,,,,0.94,0.79,0.57
ACMR,QQQ,116,64,52,0,0.25,0.09375,0.15625,0.5625,0.375,0.1875,0.375,0.171875,0.203125,0.453125,0.28125,0.171875,0.796875,0.453125,0.34375,0.0,0.0,0.0,,,,0.85,2.35,3.68
ACN,IWM,113,61,52,0,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.3114754098360656,0.19672131147540983,0.11475409836065574,0.18032786885245902,0.06557377049180328,0.11475409836065574,0.4426229508196721,0.29508196721311475,0.14754098360655737,0.5573770491803278,0.36065573770491804,0.19672131147540983,0.0,0.0,0.0,,,,0.8,0.42,0.45
ACT,XLF,34,2,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.77,0.57,0.5
ACVA,IWM,44,19,25,0,0.0,0.0,0.0,0.3684210526315789,0.3157894736842105,0.05263157894736842,0.47368421052631576,0.2631578947368421,0.21052631578947367,0.6842105263157895,0.5263157894736842,0.15789473684210525,0.7368421052631579,0.5789473684210527,0.15789473684210525,0.0,0.0,0.0,,,,0.75,1.1,3.7
ACWI,SPY,41,24,17,0,0.041666666666666664,0.041666666666666664,0.0,0.125,0.041666666666666664,0.08333333333333333,0.5,0.25,0.25,0.8333333333333334,0.4583333333333333,0.375,0.875,0.4583333333333333,0.4166666666666667,0.0,0.0,0.0,,,,0.97,1.05,0.44
ACWX,SPY,67,23,44,0,0.0,0.0,0.0,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.08695652173913043,0.13043478260869565,0.43478260869565216,0.17391304347826086,0.2608695652173913,0.5217391304347826,0.17391304347826086,0.34782608695652173,0.0,0.0,0.0,,,,0.91,1.13,0.51
ADBE,SPY,115,59,56,0,0.3728813559322034,0.2542372881355932,0.11864406779661017,0.6610169491525424,0.576271186440678,0.0847457627118644,0.2033898305084746,0.1016949152542373,0.1016949152542373,0.5254237288135594,0.423728813559322,0.1016949152542373,0.864406779661017,0.6779661016949152,0.1864406779661017,0.0,0.0,0.0,,,,0.79,0.94,0.79
ADBG,SPY,108,65,43,0,0.09230769230769231,0.06153846153846154,0.03076923076923077,0.5692307692307692,0.35384615384615387,0.2153846153846154,0.27692307692307694,0.1076923076923077,0.16923076923076924,0.5076923076923077,0.3076923076923077,0.2,0.7846153846153846,0.47692307692307695,0.3076923076923077,0.0,0.0,0.0,,,,0.8,1.56,1.52
ADC,IWM,66,20,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.35,0.2,0.15,0.4,0.3,0.1,0.0,0.0,0.0,,,,-0.19,0.0,0.46
ADEA,IWM,19,5,14,0,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.4,0.6,0.6,0.0,0.8,0.4,0.4,0.0,0.0,0.0,,,,0.91,0.97,2.66
ADI,IWM,91,46,45,0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.30434782608695654,0.21739130434782608,0.08695652173913043,0.3695652173913043,0.15217391304347827,0.21739130434782608,0.6304347826086957,0.41304347826086957,0.21739130434782608,0.8043478260869565,0.43478260869565216,0.3695652173913043,0.0,0.0,0.0,,,,0.8,0.89,0.99
ADM,IWM,85,41,44,0,0.04878048780487805,0.024390243902439025,0.024390243902439025,0.1951219512195122,0.14634146341463414,0.04878048780487805,0.07317073170731707,0.04878048780487805,0.024390243902439025,0.2926829268292683,0.21951219512195122,0.07317073170731707,0.4146341463414634,0.2926829268292683,0.12195121951219512,0.0,0.0,0.0,,,,0.22,0.11,1.03
ADMA,IWM,105,54,51,0,0.0,0.0,0.0,0.46296296296296297,0.25925925925925924,0.2037037037037037,0.42592592592592593,0.07407407407407407,0.35185185185185186,0.5740740740740741,0.3333333333333333,0.24074074074074073,0.7777777777777778,0.4074074074074074,0.37037037037037035,0.0,0.0,0.0,,,,0.72,0.65,0.7
ADNT,IWM,56,19,37,0,0.0,0.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.21052631578947367,0.5263157894736842,0.2631578947368421,0.2631578947368421,0.5789473684210527,0.21052631578947367,0.3684210526315789,0.0,0.0,0.0,,,,0.79,1.07,1.59
ADP,IWM,95,40,55,0,0.0,0.0,0.0,0.075,0.025,0.05,0.025,0.0,0.025,0.35,0.25,0.1,0.375,0.25,0.125,0.0,0.0,0.0,,,,0.18,0.07,0.56
ADPT,IWM,101,47,54,0,0.0,0.0,0.0,0.3191489361702128,0.0,0.3191489361702128,0.46808510638297873,0.0851063829787234,0.3829787234042553,0.6170212765957447,0.2765957446808511,0.3404255319148936,0.7021276595744681,0.10638297872340426,0.5957446808510638,0.0,0.0,0.0,,,,0.89,1.57,1.34
ADSE,IWM,15,4,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.0,0.0,,,,0.26,0.43,2.03
ADSK,SPY,53,23,30,0,0.13043478260869565,0.13043478260869565,0.0,0.391304347826087,0.30434782608695654,0.08695652173913043,0.391304347826087,0.30434782608695654,0.08695652173913043,0.34782608695652173,0.2608695652173913,0.08695652173913043,0.6086956521739131,0.5217391304347826,0.08695652173913043,0.0,0.0,0.0,,,,0.66,0.96,1.35
ADUR,SPY,94,58,36,0,0.0,0.0,0.0,0.3448275862068966,0.06896551724137931,0.27586206896551724,0.29310344827586204,0.034482758620689655,0.25862068965517243,0.5,0.13793103448275862,0.3620689655172414,0.6724137931034483,0.13793103448275862,0.5344827586206896,0.0,0.0,0.0,,,,0.51,2.34,2.03
ADUS,IWM,27,10,17,0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.4,0.2,0.2,0.4,0.2,0.2,0.0,0.0,0.0,,,,0.52,0.2,0.82
ADX,SPY,54,26,28,0,0.0,0.0,0.0,0.19230769230769232,0.038461538461538464,0.15384615384615385,0.5384615384615384,0.11538461538461539,0.4230769230769231,0.7307692307692307,0.3076923076923077,0.4230769230769231,0.7307692307692307,0.23076923076923078,0.5,0.0,0.0,0.0,,,,0.91,0.98,0.45
AEBI,IWM,28,15,13,0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.4666666666666667,0.2,0.26666666666666666,0.6666666666666666,0.4,0.26666666666666666,0.8,0.3333333333333333,0.4666666666666667,0.0,0.0,0.0,,,,0.61,0.52,1.64
AEE,IWM,69,13,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.3076923076923077,0.23076923076923078,0.5384615384615384,0.3076923076923077,0.23076923076923078,0.0,0.0,0.0,,,,0.01,0.05,0.38
AEHR,SPY,127,65,62,0,0.09230769230769231,0.06153846153846154,0.03076923076923077,0.6,0.36923076923076925,0.23076923076923078,0.27692307692307694,0.06153846153846154,0.2153846153846154,0.49230769230769234,0.2153846153846154,0.27692307692307694,0.7230769230769231,0.4307692307692308,0.2923076923076923,0.0,0.0,0.0,,,,0.92,4.18,3.98
AEIS,QQQ,54,15,39,0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.4,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,,,,0.93,1.91,2.19
AEM,GDX,69,43,26,0,0.20930232558139536,0.16279069767441862,0.046511627906976744,1.0,0.9534883720930233,0.046511627906976744,0.4883720930232558,0.3488372093023256,0.13953488372093023,0.5813953488372093,0.3953488372093023,0.18604651162790697,1.0,0.9534883720930233,0.046511627906976744,0.0,0.0,0.0,,,,0.97,0.87,1.58
AEO,IWM,35,13,22,0,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.6153846153846154,0.5384615384615384,0.07692307692307693,0.38461538461538464,0.38461538461538464,0.0,0.5384615384615384,0.46153846153846156,0.07692307692307693,0.6923076923076923,0.6153846153846154,0.07692307692307693,0.0,0.0,0.0,,,,0.7,0.7,3.96
AEP,IWM,108,53,55,0,0.018867924528301886,0.018867924528301886,0.0,0.1509433962264151,0.07547169811320754,0.07547169811320754,0.018867924528301886,0.018867924528301886,0.0,0.3584905660377358,0.2641509433962264,0.09433962264150944,0.41509433962264153,0.2641509433962264,0.1509433962264151,0.0,0.0,0.0,,,,0.04,0.07,0.65
AER,SPY,38,10,28,0,0.0,0.0,0.0,0.3,0.3,0.0,0.1,0.1,0.0,0.5,0.3,0.2,0.5,0.5,0.0,0.0,0.0,0.0,,,,0.63,0.36,0.79
AES,IWM,84,46,38,0,0.15217391304347827,0.08695652173913043,0.06521739130434782,0.8260869565217391,0.782608695652174,0.043478260869565216,0.3695652173913043,0.10869565217391304,0.2608695652173913,0.6521739130434783,0.5434782608695652,0.10869565217391304,0.9130434782608695,0.8695652173913043,0.043478260869565216,0.0,0.0,0.0,,,,0.87,1.14,1.83
AESI,XLE,84,30,54,0,0.0,0.0,0.0,0.26666666666666666,0.1,0.16666666666666666,0.2,0.03333333333333333,0.16666666666666666,0.6666666666666666,0.5666666666666667,0.1,0.7,0.4,0.3,0.0,0.0,0.0,,,,0.82,1.71,2.27
AEVA,SPY,128,65,63,0,0.12307692307692308,0.0,0.12307692307692308,0.5538461538461539,0.23076923076923078,0.3230769230769231,0.26153846153846155,0.03076923076923077,0.23076923076923078,0.47692307692307695,0.13846153846153847,0.3384615384615385,0.8,0.3230769230769231,0.47692307692307695,0.0,0.0,0.0,,,,0.89,4.64,2.56
AEXA,SPY,33,22,11,0,0.0,0.0,0.0,0.4090909090909091,0.13636363636363635,0.2727272727272727,0.3181818181818182,0.09090909090909091,0.22727272727272727,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.7727272727272727,0.2727272727272727,0.5,0.0,0.0,0.0,,,,0.59,0.9,1.14
AEYE,IWM,56,30,26,0,0.0,0.0,0.0,0.1,0.0,0.1,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.43333333333333335,0.16666666666666666,0.26666666666666666,0.5,0.23333333333333334,0.26666666666666666,0.0,0.0,0.0,,,,0.88,1.28,1.5
AFG,XLF,38,2,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.52,0.6,0.49
AFK,IWM,22,13,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,,,,0.63,0.42,0.91
AFL,XLF,61,7,54,0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.7142857142857143,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,,,,0.51,0.57,0.43
AFRM,SPY,127,65,62,0,0.3230769230769231,0.27692307692307694,0.046153846153846156,0.7230769230769231,0.5846153846153846,0.13846153846153847,0.26153846153846155,0.1076923076923077,0.15384615384615385,0.5538461538461539,0.24615384615384617,0.3076923076923077,0.8307692307692308,0.6153846153846154,0.2153846153846154,0.0,0.0,0.0,,,,0.9,3.04,2.51
AFRU,SPY,25,20,5,0,0.05,0.0,0.05,0.2,0.0,0.2,0.2,0.05,0.15,0.35,0.05,0.3,0.5,0.05,0.45,0.0,0.0,0.0,,,,0.86,4.21,3.96
AFYA,SPY,14,5,9,0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.4,0.0,0.4,0.6,0.2,0.4,0.0,0.0,0.0,,,,0.73,0.48,1.1
AGCO,SPY,54,14,40,0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.5,0.21428571428571427,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.6428571428571429,0.21428571428571427,0.42857142857142855,0.0,0.0,0.0,,,,0.69,0.94,0.83
AGD,SPY,47,22,25,0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.4090909090909091,0.09090909090909091,0.3181818181818182,0.5,0.3181818181818182,0.18181818181818182,0.6363636363636364,0.3181818181818182,0.3181818181818182,0.0,0.0,0.0,,,,0.83,1.17,0.75
AGG,SPY,111,55,56,0,0.01818181818181818,0.01818181818181818,0.0,0.07272727272727272,0.01818181818181818,0.05454545454545454,0.12727272727272726,0.03636363636363636,0.09090909090909091,0.23636363636363636,0.16363636363636364,0.07272727272727272,0.2727272727272727,0.10909090909090909,0.16363636363636364,0.0,0.0,0.0,,,,0.44,0.18,0.16
AGI,GDX,65,42,23,0,0.19047619047619047,0.19047619047619047,0.0,0.8571428571428571,0.7857142857142857,0.07142857142857142,0.4523809523809524,0.38095238095238093,0.07142857142857142,0.8333333333333334,0.7380952380952381,0.09523809523809523,0.9761904761904762,0.9047619047619048,0.07142857142857142,0.0,0.0,0.0,,,,0.98,0.99,2.0
AGIO,SPY,57,26,31,0,0.0,0.0,0.0,0.2692307692307692,0.07692307692307693,0.19230769230769232,0.38461538461538464,0.19230769230769232,0.19230769230769232,0.5769230769230769,0.46153846153846156,0.11538461538461539,0.7307692307692307,0.4230769230769231,0.3076923076923077,0.0,0.0,0.0,,,,0.59,0.75,1.86
AGIQ,SPY,19,14,5,0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.7142857142857143,0.07142857142857142,0.6428571428571429,0.6428571428571429,0.07142857142857142,0.5714285714285714,0.7142857142857143,0.07142857142857142,0.6428571428571429,0.0,0.0,0.0,,,,0.91,1.89,0.82
AGIX,QQQ,24,20,4,0,0.0,0.0,0.0,0.1,0.1,0.0,0.6,0.1,0.5,0.45,0.1,0.35,0.75,0.25,0.5,0.0,0.0,0.0,,,,0.92,1.14,0.86
AGM,XLF,14,2,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,,,,0.73,0.88,0.84
AGQ,IWM,127,65,62,0,0.3384615384615385,0.2153846153846154,0.12307692307692308,0.6307692307692307,0.47692307692307695,0.15384615384615385,0.16923076923076924,0.03076923076923077,0.13846153846153847,0.3076923076923077,0.1076923076923077,0.2,0.6923076923076923,0.47692307692307695,0.2153846153846154,0.0,0.0,0.0,,,,0.54,2.33,3.15
AGX,SPY,87,48,39,0,0.0625,0.020833333333333332,0.041666666666666664,0.125,0.020833333333333332,0.10416666666666667,0.2916666666666667,0.08333333333333333,0.20833333333333334,0.3958333333333333,0.10416666666666667,0.2916666666666667,0.5208333333333334,0.14583333333333334,0.375,0.0,0.0,0.0,,,,0.91,3.19,2.19
AGYS,IWM,22,3,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,,,,0.87,0.8,1.73
AHR,SPY,86,37,49,0,0.0,0.0,0.0,0.16216216216216217,0.02702702702702703,0.13513513513513514,0.32432432432432434,0.0,0.32432432432432434,0.3783783783783784,0.24324324324324326,0.13513513513513514,0.4864864864864865,0.08108108108108109,0.40540540540540543,0.0,0.0,0.0,,,,0.44,0.28,0.41
AI,IWM,119,64,55,0,0.328125,0.234375,0.09375,0.796875,0.6875,0.109375,0.359375,0.171875,0.1875,0.671875,0.421875,0.25,0.90625,0.734375,0.171875,0.0,0.0,0.0,,,,0.9,1.65,2.01
AIA,QQQ,47,27,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.037037037037037035,0.1111111111111111,0.0,0.0,0.0,,,,0.86,1.91,1.08
