ticker,bench,events_total,events_pre_total,events_intra_total,events_post_total,blue_any_rate,blue_hard_rate,blue_soft_rate,ark_any_rate,ark_hard_rate,ark_soft_rate,print_any_rate,print_hard_rate,print_soft_rate,open_any_rate,open_hard_rate,open_soft_rate,global_any_rate,global_hard_rate,global_soft_rate,intra_any_rate,intra_hard_rate,intra_soft_rate,post_any_rate,post_hard_rate,post_soft_rate,corr,beta,sigma
HRI,IWM,40,4,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,,,,0.82,1.18,1.1
HRL,IWM,48,20,28,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,,,,-0.03,0.06,1.89
HRMY,IWM,60,24,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.20833333333333334,0.041666666666666664,0.25,0.20833333333333334,0.041666666666666664,0.0,0.0,0.0,,,,0.27,0.0,1.32
HROW,IWM,97,56,41,0,0.0,0.0,0.0,0.5,0.23214285714285715,0.26785714285714285,0.5892857142857143,0.10714285714285714,0.48214285714285715,0.8214285714285714,0.42857142857142855,0.39285714285714285,0.9107142857142857,0.4107142857142857,0.5,0.0,0.0,0.0,,,,0.7,1.05,1.38
HRTG,SPY,49,26,23,0,0.0,0.0,0.0,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.38461538461538464,0.23076923076923078,0.15384615384615385,0.5384615384615384,0.46153846153846156,0.07692307692307693,0.6538461538461539,0.4230769230769231,0.23076923076923078,0.0,0.0,0.0,,,,0.26,0.34,1.4
HSAI,QQQ,122,65,57,0,0.3230769230769231,0.16923076923076924,0.15384615384615385,0.6615384615384615,0.4461538461538462,0.2153846153846154,0.3230769230769231,0.07692307692307693,0.24615384615384617,0.38461538461538464,0.26153846153846155,0.12307692307692308,0.8153846153846154,0.49230769230769234,0.3230769230769231,0.0,0.0,0.0,,,,0.76,1.94,2.56
HSBC,SPY,96,58,38,0,0.10344827586206896,0.08620689655172414,0.017241379310344827,0.3793103448275862,0.29310344827586204,0.08620689655172414,0.1896551724137931,0.08620689655172414,0.10344827586206896,0.3103448275862069,0.1724137931034483,0.13793103448275862,0.46551724137931033,0.3275862068965517,0.13793103448275862,0.0,0.0,0.0,,,,0.41,0.65,1.1
HSIC,IWM,51,11,40,0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,0.2727272727272727,0.0,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,,,,0.59,0.24,1.15
HSII,IWM,21,8,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,,,,0.55,0.09,2.42
HST,SPY,82,37,45,0,0.0,0.0,0.0,0.32432432432432434,0.10810810810810811,0.21621621621621623,0.4864864864864865,0.16216216216216217,0.32432432432432434,0.6486486486486487,0.43243243243243246,0.21621621621621623,0.8108108108108109,0.35135135135135137,0.4594594594594595,0.0,0.0,0.0,,,,0.86,0.79,0.71
