ticker,open_glob_total,open_glob_up_rate,open_glob_down_rate,open_glob_mean_move,open_glob_median_move,open_5m_total,open_5m_up_rate,open_5m_down_rate,open_5m_mean_move,open_5m_median_move,open_10m_total,open_10m_up_rate,open_10m_down_rate,open_10m_mean_move,open_10m_median_move,open_15m_total,open_15m_up_rate,open_15m_down_rate,open_15m_mean_move,open_15m_median_move,open_20m_total,open_20m_up_rate,open_20m_down_rate,open_20m_mean_move,open_20m_median_move,open_30m_total,open_30m_up_rate,open_30m_down_rate,open_30m_mean_move,open_30m_median_move
A,49.0,0.6938775510204082,0.30612244897959184,0.4847084092275751,0.6647285831426597,38.0,0.6842105263157895,0.3157894736842105,0.3808337504419401,0.43918220670524644,38.0,0.6842105263157895,0.3157894736842105,0.48882541567152826,0.49991214384559335,41.0,0.7804878048780488,0.21951219512195122,0.5615046804437933,0.5696330307811026,45.0,0.6666666666666666,0.3333333333333333,0.43856467911554453,0.5180847491576657,49.0,0.6938775510204082,0.30612244897959184,0.4847084092275751,0.6647285831426597
AA,68.0,0.5441176470588235,0.45588235294117646,0.35070481040692186,0.3678786077797369,52.0,0.5192307692307693,0.4807692307692308,0.0677726157521206,0.32921722461409786,56.0,0.5,0.5,0.07801201797732749,0.007681613115861907,56.0,0.5,0.5,0.15933666871224933,-0.008081043597518711,58.0,0.5172413793103449,0.4827586206896552,0.27765759006896146,0.4104570290581866,68.0,0.5441176470588235,0.45588235294117646,0.35070481040692186,0.3678786077797369
AAAU,21.0,0.5238095238095238,0.47619047619047616,-0.045055275283839305,0.3155306704687222,4.0,0.25,0.75,-0.42139588864535116,-0.566712924867202,9.0,0.2222222222222222,0.7777777777777778,-0.3196601415610709,-0.40595811307629903,20.0,0.35,0.65,-0.16634569838822943,-0.32182707321329884,16.0,0.3125,0.6875,-0.2390632567822369,-0.41412042476853816,21.0,0.5238095238095238,0.47619047619047616,-0.045055275283839305,0.3155306704687222
AAL,59.0,0.4745762711864407,0.5254237288135594,0.11670615985147363,-0.34490485148693795,51.0,0.5294117647058824,0.47058823529411764,0.016879252563224076,0.38065888928628944,54.0,0.5,0.5,0.1126437269095913,0.09238515354955679,59.0,0.5084745762711864,0.4915254237288136,0.14071886611995554,0.30172281259592815,58.0,0.5344827586206896,0.46551724137931033,0.13580034893317616,0.342734384198895,59.0,0.4745762711864407,0.5254237288135594,0.11670615985147363,-0.34490485148693795
AALG,5.0,0.4,0.6,0.30193983622583503,-1.0788391069144865,20.0,0.5,0.5,-0.3607229589589644,0.01322023245884374,18.0,0.3333333333333333,0.6666666666666666,-0.8034261607185288,-1.2410650339092,15.0,0.6,0.4,0.012171787102199735,0.7597333877945145,12.0,0.4166666666666667,0.5833333333333334,-0.1606058745166755,-0.5047370172147292,5.0,0.4,0.6,0.30193983622583503,-1.0788391069144865
AAMI,29.0,0.5517241379310345,0.4482758620689655,0.20317029818252924,0.6706577983481399,35.0,0.5142857142857142,0.4857142857142857,-0.26024830154484,0.34447529400629673,44.0,0.5,0.5,-0.19801113111362423,0.00313229724211439,44.0,0.5909090909090909,0.4090909090909091,0.1427439599546763,0.4527234236391009,41.0,0.5609756097560976,0.43902439024390244,0.05990781738421068,0.34872842291948647,29.0,0.5517241379310345,0.4482758620689655,0.20317029818252924,0.6706577983481399
AAOI,69.0,0.4782608695652174,0.5217391304347826,0.19179033772597,-0.5238124302455405,64.0,0.453125,0.546875,-0.2526999291175365,-0.4234807875059421,65.0,0.4461538461538462,0.5538461538461539,-0.15552573971766984,-0.5599345726431615,67.0,0.44776119402985076,0.5522388059701493,0.01308690081837878,-0.6371331623355125,68.0,0.4411764705882353,0.5588235294117647,0.08661340003202296,-0.569085163821681,69.0,0.4782608695652174,0.5217391304347826,0.19179033772597,-0.5238124302455405
AAON,50.0,0.62,0.38,0.859462281426756,0.7550419444672607,55.0,0.5272727272727272,0.4727272727272727,0.17661706059223967,0.40650012912331057,50.0,0.66,0.34,0.30822157466958755,0.4612571069115834,50.0,0.6,0.4,0.5167238574850874,0.5525508658706046,53.0,0.6226415094339622,0.37735849056603776,0.6204863008726944,0.5106061736545042,50.0,0.62,0.38,0.859462281426756,0.7550419444672607
AAP,59.0,0.4915254237288136,0.5084745762711864,-0.31204430857132215,-0.3703696423312697,43.0,0.3953488372093023,0.6046511627906976,-0.63697880466461,-0.5644822616839074,60.0,0.45,0.55,-0.3238557128551078,-0.34606419675592415,55.0,0.5272727272727272,0.4727272727272727,-0.13624423717017778,0.310457078062254,54.0,0.5,0.5,-0.21468055961650967,-0.0073855413017187566,59.0,0.4915254237288136,0.5084745762711864,-0.31204430857132215,-0.3703696423312697
AAPB,45.0,0.5777777777777777,0.4222222222222222,0.262795863302533,0.6587577456194982,58.0,0.5,0.5,-0.06679460202591868,0.007023239244130508,58.0,0.4827586206896552,0.5172413793103449,-0.08311613140212822,-0.3342585504835016,56.0,0.4642857142857143,0.5357142857142857,-0.12345292228389969,-0.39304167738397067,52.0,0.5384615384615384,0.46153846153846156,0.08573957966684088,0.431089688264652,45.0,0.5777777777777777,0.4222222222222222,0.262795863302533,0.6587577456194982
AAPD,51.0,0.4117647058823529,0.5882352941176471,-0.1778070620305676,-0.44958057929498363,39.0,0.5128205128205128,0.48717948717948717,0.013483781822762544,0.30143150318902023,35.0,0.5714285714285714,0.42857142857142855,0.09190994149831062,0.4730752193624399,35.0,0.5428571428571428,0.45714285714285713,0.05655585198537657,0.37751005940696025,40.0,0.475,0.525,-0.03543418573031032,-0.3137019484329151,51.0,0.4117647058823529,0.5882352941176471,-0.1778070620305676,-0.44958057929498363
AAPL,53.0,0.6037735849056604,0.39622641509433965,0.1858426733853636,0.49316819676987755,38.0,0.5263157894736842,0.47368421052631576,0.03723968390416344,0.33776809180927625,38.0,0.5,0.5,-0.016352619355067703,0.004490275283791645,41.0,0.5609756097560976,0.43902439024390244,0.018178793862354846,0.3322403062012258,49.0,0.5510204081632653,0.4489795918367347,0.07913575586521487,0.3559872804444142,53.0,0.6037735849056604,0.39622641509433965,0.1858426733853636,0.49316819676987755
